year,make,brand,body,transmission,state,qty sold,mileage,outer color,interior color,seller,costprice,sellingprice,salemonth
2000,Lexus,RX 300,SUV,automatic,ca,27,97223,white,tan,veros credit,4025,5700,Dec
2001,Toyota,Sequoia,SUV,automatic,ca,19,237449,gray,silver,bob baker toyota of lemon grove,3350,2200,Dec
2002,Land Rover,Range Rover,SUV,automatic,ca,2,115630,white,beige,credit acceptance corp/vrs/southfield,2075,400,Dec
2002,BMW,5 Series,Sedan,automatic,ca,0,177432,silver,â€”,savarani motors,2225,1800,Dec
2002,Toyota,Avalon,Sedan,automatic,ca,2,205842,white,beige,aaero sweet company,3025,3100,Dec
2002,BMW,3 Series,Sedan,automatic,ca,0,169061,black,gray,kearny pearson kia,2375,2500,Dec
2002,Lexus,ES 300,Sedan,automatic,ca,42,62619,black,beige,newport lexus,5875,8500,Dec
2002,Toyota,Avalon,Sedan,automatic,ca,0,158166,beige,â€”,apexcars net,3175,3800,Dec
2002,BMW,X5,SUV,automatic,ca,19,147035,silver,black,southwest auto inc,3975,3300,Jan
2002,Lexus,RX 300,SUV,automatic,ca,0,231974,silver,gray,bob baker volkswagen subaru,4425,3700,Dec
2002,Lexus,LS 430,Sedan,automatic,ca,0,198724,silver,â€”,lexus of stevens creek,5825,4550,Dec
2002,BMW,5 Series,Sedan,automatic,ca,0,205718,silver,â€”,premium auto wholesale,1375,1800,Dec
2002,BMW,3 Series,Convertible,automatic,ca,0,113330,blue,gray,bmw of san diego,4625,3700,Dec
2002,Lexus,LS 430,Sedan,automatic,ca,32,162878,black,tan,carpower trading inc,6875,5000,Dec
2002,BMW,5 Series,Sedan,automatic,ca,35,118370,silver,black,arrowhead auto group inc,2550,3500,Dec
2002,Lexus,RX 300,SUV,automatic,ca,1,123096,gray,tan,fresno lexus,5275,2800,Dec
2002,BMW,7 Series,Sedan,automatic,ca,19,185517,black,black,prestige auto wholesale inc,2575,2400,Jan
2002,BMW,X5,SUV,automatic,ca,0,105797,silver,gray,bmw of san diego,5125,5700,Dec
2002,BMW,X5,SUV,automatic,ca,0,147832,white,â€”,apexcars net,3800,4200,Dec
2002,BMW,3 Series,Sedan,automatic,ca,0,196951,silver,â€”,beverly hills bmw,1975,2100,Dec
2002,Toyota,Corolla,Sedan,automatic,ca,0,199754,â€”,tan,gama motors,1175,1500,Dec
2002,Toyota,Prius,Sedan,automatic,ca,27,161912,silver,gray,a ffordable cars,1750,2450,Jan
2001,BMW,5 Series,Sedan,automatic,ca,28,132978,green,tan,orange coast chrysler jeep dodge,2950,2000,Dec
2001,BMW,X5,SUV,automatic,ca,0,164638,gold,beige,poway honda,2800,2100,Dec
2002,Toyota,Sienna,Minivan,automatic,ca,0,156147,beige,â€”,auto trade center,2900,3400,Dec
2001,Lexus,ES 300,Sedan,automatic,ca,22,93282,gold,beige,mercedes benz of laguna niguel,3850,3700,Dec
