year,make,model,trim,body,transmission,vin,state,qty sold,odometer,color,interior,seller,mmr,sellingprice,saledate
2000,BMW,3 Series,328i,Sedan,automatic,wbaam5342yjr61397,va,37,85851,black,beige,shirlie slack mitsubishi,2650,6600,Thu Dec 18 2014 09:20:00 GMT-0800 (PST)
2000,BMW,3 Series,323i,Sedan,automatic,wbaam3346ycb25894,fl,26,207133,silver,black,courtesy kia of brandon,1175,1700,Thu Dec 18 2014 16:20:00 GMT-0800 (PST)
2000,Lexus,RX 300,Base,SUV,automatic,jt6hf10u5y0163921,il,0,130573,white,tan,manheim chicago,3850,3000,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2000,Lexus,RX 300,Base,SUV,,jt6hf10u6y0118034,va,0,148696,silver,—,sheehy subaru,3550,3900,Thu Dec 18 2014 09:20:00 GMT-0800 (PST)
2000,Lexus,RX 300,Base,SUV,automatic,jt6hf10uxy0104847,az,0,119860,white,beige,good car company inc,3950,5400,Thu Dec 18 2014 00:00:00 GMT-0800 (PST)
2000,Land Rover,Range Rover,4.6 Vitesse,SUV,automatic,salpf1647ya429079,sc,1,183128,black,black,axcess financial,475,500,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2000,Lexus,RX 300,Base,SUV,automatic,jt6hf10u9y0102118,az,0,213366,green,beige,valley auto center,3125,2200,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2000,Lexus,RX 300,Base,SUV,automatic,jt6hf10u8y0159376,pa,44,95525,gray,beige,autocelli inc,4100,6400,Fri Jan 02 2015 09:15:00 GMT-0800 (PST)
2000,Land Rover,Discovery Series II,Base,SUV,,salty1243ya272813,il,0,156886,white,—,lexus of merrillville,1075,750,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2000,Lexus,LX 470,Base,SUV,automatic,jt6ht00wxy0080392,nj,19,113184,gray,gray,mercedes benz of southampton,8250,8000,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2000,Lexus,LX 470,Base,SUV,automatic,jt6ht00wxy0100253,wa,2,207715,gray,beige,audi of tacoma,8250,7900,Wed Dec 17 2014 13:45:00 GMT-0800 (PST)
2000,Lexus,LX 470,Base,SUV,automatic,jt6ht00w4y0119848,co,0,191354,gray,tan,auto brokers,8400,7500,Wed Dec 17 2014 11:45:00 GMT-0800 (PST)
2000,Lexus,RX 300,Base,SUV,automatic,jt6hf10u7y0143105,wa,31,201139,silver,gray,lexus of bellevue,3200,3300,Tue Dec 30 2014 13:20:00 GMT-0800 (PST)
2000,Land Rover,Range Rover,4.6 Vitesse,SUV,automatic,salpv1640ya441240,sc,1,135629,silver,gray,select remarketing group llc/loan max title,1350,900,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
2000,Toyota,Avalon,XL,Sedan,automatic,4t1bf28bxyu070758,az,0,127206,silver,gray,bill luke chrysler jeep and dodge inc,2650,3200,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2000,Toyota,4Runner,Limited,SUV,automatic,jt3gn87r0y0141847,ny,0,133876,silver,gray,1st security of st pete inc,4075,4150,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
2000,Toyota,Avalon,XL,Sedan,automatic,4t1bf28b5yu030443,il,0,183291,silver,—,grossinger toyota north,2075,1850,Thu Dec 18 2014 14:00:00 GMT-0800 (PST)
2000,Toyota,4Runner,Limited,SUV,,jt3hn87r3y9032959,pr,19,214481,gray,beige,select remarketing group llc/anderson financial,4175,1700,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2000,Toyota,4Runner,SR5,SUV,automatic,jt3hn86r7y0307982,il,0,218469,silver,—,tyson motor corporation,2975,2000,Thu Dec 18 2014 14:00:00 GMT-0800 (PST)
2000,Toyota,Camry,CE,Sedan,,jt2bg22k2y0486958,il,0,154599,white,—,signature auto enterprises inc,1975,1950,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2000,Toyota,Avalon,XL,Sedan,automatic,4t1bf28b1yu056599,tx,35,115795,white,gray,tdaf remarketing,2775,3500,Wed Dec 17 2014 10:00:00 GMT-0800 (PST)
2000,Toyota,Avalon,XL,Sedan,automatic,4t1bf28b7yu079899,nv,2,214637,silver,—,ez corp inc.,1700,1500,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2000,Toyota,Avalon,XL,Sedan,,4t1bf28b4yu024911,il,0,165412,white,—,mullers woodfield acura,2200,1200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2000,Toyota,Camry,LE,Sedan,automatic,4t1bg22k9yu982500,ma,27,128459,blue,gray,boch new to you superstore,2325,1500,Thu Dec 18 2014 18:30:00 GMT-0800 (PST)
2000,Toyota,Celica,GT-S,Hatchback,manual,jtddy32t9y0034758,fl,0,136192,silver,black,s & s auto leasing corp,3150,2300,Fri Dec 19 2014 09:25:00 GMT-0800 (PST)
2000,Toyota,Camry,LE,Sedan,automatic,4t1bg22kxyu957220,fl,0,143397,white,blue,ferco motors corp,2250,2300,Fri Dec 19 2014 09:25:00 GMT-0800 (PST)
2000,Toyota,Corolla,CE,Sedan,,2t1br12exyc269332,va,2,157281,beige,beige,brown's manassas kia,1375,1600,Thu Dec 18 2014 09:05:00 GMT-0800 (PST)
2000,Toyota,MR2 Spyder,Base,Convertible,,jtdfr3203y0020236,va,0,122763,silver,—,wonder automotive inc,3275,3700,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
2000,Toyota,Celica,GT-S,Hatchback,automatic,jtddy38t7y0029968,ma,0,177592,black,—,us trust motors,2400,1000,Thu Dec 18 2014 18:30:00 GMT-0800 (PST)
2000,Toyota,Celica,GT-S,Hatchback,,jtddy38t6y0020596,ma,2,184515,blue,black,boch new to you superstore,2275,1100,Thu Dec 18 2014 18:30:00 GMT-0800 (PST)
2000,Toyota,Tundra,SR5,Extended Cab,,5tbbt4411ys022388,va,21,173180,black,gray,bavarian auto sales llc,4100,5350,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
2000,Toyota,Celica,GT,Hatchback,manual,jtddr32txy0003533,fl,0,171850,white,gray,daytona toyota,1475,1500,Wed Dec 17 2014 15:00:00 GMT-0800 (PST)
2000,Toyota,Camry,LE V6,Sedan,automatic,4t1bf22k1yu935819,ma,19,158385,white,tan,metro chrysler jeep dodge,1800,1500,Thu Dec 18 2014 18:30:00 GMT-0800 (PST)
2000,toyota,sienna,xle,,automatic,4t3zf13cxyu226118,ga,0,239588,silver,gray,persichetti motorsports inc,2150,2700,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2000,Toyota,ECHO,Base,Sedan,automatic,jtdbt1235y0066889,mn,0,191835,red,gray,walker quality sales,1750,1100,Thu Dec 18 2014 10:45:00 GMT-0800 (PST)
2000,Toyota,Camry,CE,Sedan,automatic,4t1bg22kxyu628940,mn,0,169888,silver,gray,luther hopkins honda,1850,2400,Thu Dec 18 2014 10:45:00 GMT-0800 (PST)
2000,toyota,sienna,le,,automatic,4t3zf13c7yu205629,fl,0,128441,gray,tan,off lease only inc,2375,1500,Thu Dec 18 2014 10:35:00 GMT-0800 (PST)
2000,Toyota,Camry,LE,Sedan,automatic,4t1bg22k7yu987422,mn,0,261320,red,tan,all cars inc,1625,800,Thu Dec 18 2014 10:45:00 GMT-0800 (PST)
2000,Toyota,Tundra,SR5,Extended Cab,automatic,5tbrt341xys097938,sc,0,182674,white,gray,parks auto brokers inc,3600,5000,Thu Dec 18 2014 10:15:00 GMT-0800 (PST)
2000,Toyota,Camry,LE,Sedan,automatic,jt2bg22k8y0470327,oh,0,,green,tan,select remarketing group llc/midwest title loans,2025,300,Thu Dec 18 2014 09:00:00 GMT-0800 (PST)
2000,Toyota,Camry,LE,Sedan,automatic,4t1bg22k0yu010199,az,0,138028,silver,gray,bell road toyota,2275,1450,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2000,Toyota,Tundra,SR5,Extended Cab,automatic,5tbbt4415ys018375,nj,0,202069,burgundy,—,aunlimited inc,3650,3250,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
2000,Toyota,Camry,LE,Sedan,automatic,4t1bg28k1yu627313,ut,0,202653,silver,—,larry h. miller toyota,1925,1550,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2000,toyota,sienna,le,,automatic,4t3zf13cxyu176613,il,0,171955,gold,—,action automotive inc,2150,1900,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2000,Toyota,Tundra,Limited,Extended Cab,automatic,5tbrt3819ys071955,nj,0,205728,silver,—,northway automotive inc,3075,2000,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
2000,toyota,sienna,le,,automatic,4t3zf13c6yu266521,il,0,180254,blue,tan,fletcher jones automotive ent,2125,1400,Thu Dec 18 2014 14:00:00 GMT-0800 (PST)
2000,Toyota,Camry,CE,Sedan,,4t1bg22k3yu925208,va,0,173184,black,—,sheehy volkswagen,1825,800,Thu Dec 18 2014 09:20:00 GMT-0800 (PST)
2000,Toyota,Celica,GT,Hatchback,automatic,jtddr32t4y0050900,fl,0,97474,blue,black,earl stewart toyota of north palm beach,2150,3300,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
2002,BMW,X5,3.0i,SUV,automatic,5uxfa53592lp37239,il,0,156085,black,—,webb chevrolet inc,3650,2200,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2002,BMW,3 Series,325Ci,Coupe,automatic,wbabn33462pg59933,md,0,196286,white,—,kia of waldorf,1675,1000,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2002,BMW,7 Series,745Li,Sedan,automatic,wbagn63472dr03546,md,0,118444,black,—,three son's auto inc,4700,4000,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2002,BMW,X5,3.0i,SUV,,5uxfa53592lp56731,pa,23,140337,gray,black,j magnone auto group llc,4100,5000,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2002,Lexus,RX 300,Base,SUV,automatic,jtjgf10u220144638,ga,25,177754,black,tan,audi north atlanta,5075,4600,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2002,Land Rover,Freelander,SE,SUV,automatic,salny22272a381988,tx,0,124346,gray,tan,a b c auto credit inc,1000,800,Tue Dec 23 2014 00:00:00 GMT-0800 (PST)
2002,Lexus,LS 430,Base,Sedan,,jthbn30f620089073,va,0,91757,blue,—,va cars inc,8100,7200,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
2002,Lexus,RX 300,Base,SUV,automatic,jtjhf10u220272544,tn,29,84271,silver,black,wells fargo dealer services,6400,7000,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
2002,Lexus,SC 430,Base,Convertible,automatic,jthfn48y920019550,fl,0,97194,silver,black,crown eurocars inc,10000,11300,Thu Dec 18 2014 16:50:00 GMT-0800 (PST)
2002,Toyota,Avalon,XL,Sedan,,4t1bf28b62u252643,md,2,73284,white,tan,jim coleman toyota inc,3775,3000,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2002,Toyota,ECHO,Base,Sedan,automatic,jtdbt123325022366,fl,0,117221,green,gray,the touch auto sales llc,2850,3300,Thu Dec 18 2014 17:00:00 GMT-0800 (PST)
2002,Toyota,Camry,LE,Sedan,,4t1be32k52u024635,md,24,183487,white,gray,jim coleman toyota inc,2750,2400,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2002,Toyota,Camry,SE V6,Sedan,automatic,4t1bf30k82u013757,ca,0,167590,silver,black,ratcliff auto sales,2725,3300,Thu Dec 18 2014 13:00:00 GMT-0800 (PST)
2002,Toyota,Avalon,XLS,Sedan,automatic,4t1bf28b32u215484,fl,19,79661,white,tan,east coast financial,3900,4500,Tue Dec 23 2014 00:00:00 GMT-0800 (PST)
2001,BMW,M3,Base,Coupe,manual,wbsbl93401jr10836,fl,23,125074,silver,gray,select motor car of gainesville inc,9600,8400,Tue Dec 30 2014 09:00:00 GMT-0800 (PST)
2001,BMW,7 Series,740iL,Sedan,automatic,wbagh834x1dp24757,ca,24,118013,black,beige,premium auto wholesale,2600,2900,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
2001,BMW,3 Series,330xi,Sedan,automatic,wbaav53461fj70568,fl,19,150991,gray,gray,east coast financial,2650,1600,Tue Jan 13 2015 09:15:00 GMT-0800 (PST)
2001,BMW,3 Series,330Ci,Coupe,automatic,wbabn53431ju36291,fl,0,167222,white,gray,lauderdale imports ltd bmw pembrok pines,2900,3500,Fri Dec 19 2014 09:35:00 GMT-0800 (PST)
2001,BMW,7 Series,740i,Sedan,automatic,wbagg83431dn81511,ca,0,177112,black,—,executive image auto group,1925,1000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2001,BMW,5 Series,530i,Sedan,,wbadt63431cf14466,fl,19,133301,black,black,east coast financial,2675,2300,Fri Jan 09 2015 09:20:00 GMT-0800 (PST)
2002,Toyota,Sienna,XLE,Minivan,,4t3zf13c62u414447,md,0,149307,white,—,manheim imports,3475,1800,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2001,Lexus,GS 430,Base,Sedan,automatic,jt8bl69s910008041,fl,24,140989,black,beige,tdaf remarketing,4575,4600,Mon Dec 22 2014 09:00:00 GMT-0800 (PST)
2001,Lexus,LS 430,Base,Sedan,automatic,jthbn30f110004946,md,0,185352,black,—,northwest bmw,5825,5000,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2001,Toyota,4Runner,SR5,SUV,,jt3hn86r810339877,nj,25,194999,black,brown,lester glenn buick,3525,2800,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2001,Toyota,Corolla,CE,Sedan,,2t1br12ex1c842073,qc,29,220864,red,gray,goldstar motors,1100,800,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2001,Toyota,Camry,XLE V6,Sedan,automatic,jt2bf28kx10337262,md,2,56551,gold,beige,jim coleman toyota inc,3750,3500,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2000,BMW,3 Series,328i,Sedan,automatic,wbaam5341yej41613,mn,0,122856,black,tan,a plus auto llc,2225,1850,Thu Dec 18 2014 10:45:00 GMT-0800 (PST)
2001,Toyota,Highlander,V6,SUV,automatic,jtegf21a510021097,nv,0,259387,silver,—,unique autos,3500,3700,Thu Dec 18 2014 11:45:00 GMT-0800 (PST)
2000,BMW,3 Series,323i,Sedan,automatic,wbaam3343yca91574,ca,0,169496,black,—,arrowhead auto group inc,1650,1250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2000,BMW,7 Series,740iL,Sedan,automatic,wbagh8349ydp16742,md,1,151720,beige,tan,new dawn auto mall inc,1700,500,Tue Jan 27 2015 05:00:00 GMT-0800 (PST)
2000,BMW,5 Series,528i,Sedan,,wbadm6346ygu17288,tn,1,211192,gray,—,titlemax/nashville tn2,800,1025,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
2000,BMW,3 Series,323Ci,Convertible,automatic,wbabr3341yea83189,fl,0,89911,silver,gray,braman honda of palm beach,3500,6100,Fri Dec 19 2014 09:35:00 GMT-0800 (PST)
2000,BMW,3 Series,323i,Sedan,,wbaam3348yca92056,pa,32,132169,silver,gray,faulkner bmw,2125,1900,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2000,Lexus,RX 300,Base,SUV,automatic,jt6gf10u4y0050523,fl,19,207546,silver,gray,east coast financial,2950,3500,Fri Dec 19 2014 09:10:00 GMT-0800 (PST)
2000,Toyota,Camry,LE,Sedan,,4t1bg22k2yu959446,md,2,91909,white,gray,ike motors,2225,1900,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2000,Toyota,4Runner,Limited,SUV,,jt3hn87r9y0310932,tn,1,1,white,—,titlebucks / clarksville tn1,6200,1500,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2000,Toyota,Avalon,XL,Sedan,automatic,4t1bf28b1yu044324,mo,0,121998,silver,—,century sales & leasing inc,2775,3100,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
2000,Toyota,Camry,LE,Sedan,automatic,4t1bg22k5yu753652,oh,19,173058,green,tan,j & f auto sales llc,1950,1100,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2000,Toyota,Camry,CE,Sedan,manual,4t1bg22k5yu940678,oh,0,,gray,gray,excel auto sales,1950,700,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2000,Toyota,Camry,CE,Sedan,automatic,4t1bg22k9yu936780,il,0,213562,red,—,divinerstyles automotives llc,1575,1500,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2000,toyota,sienna,ce,,,4t3zf19c9yu228708,on,0,359123,blue,—,g b services,1225,950,Thu Dec 18 2014 18:30:00 GMT-0800 (PST)
2000,Toyota,Camry,CE,Sedan,automatic,4t1bg22k4yu711053,md,0,181417,silver,—,perfect performance auto sales inc,1825,1200,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2002,BMW,X5,3.0i,SUV,automatic,5uxfa53552lp56855,wi,19,162520,silver,gray,patrick cadillac,3425,3500,Wed Dec 31 2014 10:00:00 GMT-0800 (PST)
2002,BMW,3 Series,325i,Sedan,automatic,wbaet37472ng84879,sc,25,125655,blue,gray,car financial services inc,3000,2500,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
2002,BMW,5 Series,525i,Wagon,,wbads43412gd86813,nj,26,113761,gray,gray,autolenders liquidation center,3400,3600,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2002,BMW,Z3,3.0i,Convertible,manual,4uscn53462lj60437,fl,19,1,silver,black,mercedes benz of sarasota,13400,4300,Tue Jan 06 2015 18:00:00 GMT-0800 (PST)
2002,BMW,7 Series,745Li,Sedan,automatic,wbagn63432dr03799,ca,21,145956,white,tan,lobel financial corp,3925,2600,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2002,BMW,3 Series,325i,Sedan,automatic,wbaev33432kl67230,fl,19,122319,silver,black,audi south orlando,2875,3100,Tue Dec 23 2014 12:15:00 GMT-0800 (PST)
2002,BMW,5 Series,530i,Sedan,automatic,wbadt53422ce92939,ca,2,152222,blue,beige,donate for charity,2600,2350,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2002,BMW,5 Series,525i,Sedan,automatic,wbadt43482gy42641,pa,19,210794,silver,black,bmw of sterling,625,1000,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
2002,BMW,3 Series,325Ci,Convertible,automatic,wbabs33482pg85488,oh,3,113160,silver,gray,kia of bedford,4525,3300,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2002,BMW,7 Series,745Li,Sedan,automatic,wbagn63472dr04177,fl,19,135845,gray,beige,westlake financial services,3875,2700,Thu Jan 08 2015 15:00:00 GMT-0800 (PST)
2002,Land Rover,Freelander,HSE,SUV,automatic,salne22272a398380,ga,29,98921,black,beige,gwinnett place honda,2325,2550,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2002,Lexus,RX 300,Base,SUV,automatic,jtjhf10u820268188,wa,39,110954,gold,beige,lexus of bellevue,5750,4800,Tue Dec 30 2014 12:40:00 GMT-0800 (PST)
2002,Lexus,ES 300,Base,Sedan,automatic,jthbf30g720037747,ga,36,123749,black,black,wells fargo dealer services,4675,4300,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
2002,Land Rover,Freelander,SE,SUV,,salny22282a211946,nv,2,86872,blue,—,land rover las vegas,1500,600,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
2002,Lexus,RX 300,Base,SUV,automatic,jtjgf10u320128304,fl,37,143855,white,tan,lexus of palm beach,5400,5300,Tue Dec 23 2014 12:15:00 GMT-0800 (PST)
2002,Lexus,IS 300,Base,Sedan,manual,jthbd192820053425,wa,35,168053,blue,black,vroom,3475,3500,Tue Dec 23 2014 15:40:00 GMT-0800 (PST)
2002,Lexus,IS 300,Base,Sedan,automatic,jthbd192x20041180,ga,3,194773,blue,black,nalley lexus roswell,2875,2900,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2002,Lexus,SC 430,Base,Convertible,automatic,jthfn48y920024747,fl,19,122545,silver,beige,myrddin fleet services,8300,6500,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
2002,Lexus,ES 300,Base,Sedan,automatic,jthbf30gx25031427,fl,25,83990,—,tan,jm lexus,5500,4200,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2002,Toyota,Highlander,Base,SUV,automatic,jtehf21a520087929,fl,33,183463,gold,beige,auto sails inc,4250,4700,Tue Feb 17 2015 08:00:00 GMT-0800 (PST)
2002,Toyota,Highlander,Base,SUV,,jtegd21a820028617,fl,19,269024,blue,gray,coggin honda of ft pierce,4950,1800,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2002,Toyota,Highlander,Limited,SUV,automatic,jtegf21a120070539,ga,19,168348,gold,tan,jim ellis,4975,4400,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2002,Toyota,Camry,LE,Sedan,automatic,4t1be32k12u016189,ga,21,141395,gold,tan,automobile acceptance corp,3250,3800,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2002,Toyota,Camry,XLE,Sedan,automatic,4t1be32k62u582154,ga,19,93930,blue,gray,nextgear capital,4750,4300,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2002,Toyota,Camry,SE V6,Sedan,automatic,4t1bf32k22u515239,tx,26,174179,blue,gray,the hertz corporation,2325,2400,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
2002,Toyota,Tacoma,PreRunner V6,Xtracab,automatic,5tesn92n82z031135,ca,19,317376,green,tan,premium auto wholesale,5300,3800,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
2002,Toyota,Prius,Base,Sedan,automatic,jt2bk18u920050973,md,24,147560,silver,—,jim coleman toyota inc,1975,2000,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2002,Toyota,Camry,LE,Sedan,automatic,4t1be32k72u622631,ca,34,263322,blue,gray,aaero sweet company,1950,2500,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2002,Toyota,Camry,SE,Sedan,automatic,4t1be32k82u003536,fl,19,155432,black,gray,autonation toyota fort myers,2950,2800,Tue Dec 23 2014 12:15:00 GMT-0800 (PST)
2002,Toyota,Corolla,CE,Sedan,automatic,1nxbr12e72z576222,nc,21,107459,blue,beige,boyd chevrolet buick gmc,2000,2400,Mon Dec 29 2014 09:00:00 GMT-0800 (PST)
2002,Toyota,Highlander,Base,SUV,,jtegf21a420038216,tn,27,113554,blue,beige,professional financial services / murfreesboro,5750,5900,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
2002,Toyota,Camry,LE,Sedan,,jtdbe32kx20029969,ca,27,145763,blue,gray,buyers auto sales,3200,4300,Tue Dec 30 2014 00:00:00 GMT-0800 (PST)
2002,Toyota,Sienna,CE,Minivan,,4t3zf19c32u419435,fl,28,113142,silver,beige,autonation chevrolet delray,2475,2500,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2002,Toyota,Avalon,XLS,Sedan,,4t1bf28bx2u203123,fl,19,194273,gold,beige,lexus of tampa bay,3025,2400,Tue Dec 23 2014 12:15:00 GMT-0800 (PST)
2002,Toyota,Camry Solara,SE V6,Convertible,automatic,2t1ff28p62c548258,ca,2,133999,silver,—,lexus of marin,2475,2100,Wed Jan 14 2015 07:05:00 GMT-0800 (PST)
2002,Toyota,Highlander,Base,SUV,,jtegf21a120042658,fl,41,217277,black,gray,auto sails inc,5450,4800,Tue Jan 06 2015 16:00:00 GMT-0800 (PST)
2002,Toyota,Sienna,LE,Minivan,automatic,4t3zf13c92u415351,ca,31,193951,white,gray,auto finance solutions,2775,1800,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2001,BMW,X5,3.0i,SUV,automatic,wbafa53571lm63892,pa,19,173213,gold,beige,c & b motors,2775,2950,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
2001,BMW,7 Series,740iL,Sedan,automatic,wbagh83471dp18740,fl,39,126540,white,tan,autonation chevrolet pembroke pines,2500,2700,Tue Dec 23 2014 12:15:00 GMT-0800 (PST)
2001,BMW,X5,4.4i,SUV,automatic,wbafb33551lh17717,fl,19,106808,silver,—,courtesy toyota of brandon,4400,4200,Tue Dec 23 2014 16:00:00 GMT-0800 (PST)
2001,BMW,7 Series,740iL,Sedan,automatic,wbagh83471dp28443,ca,33,1,silver,black,bmw of murrieta,4000,2700,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2001,BMW,3 Series,325Ci,Convertible,manual,wbabs33481jy41804,ma,19,140786,black,red,clay subaru,3200,2800,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2001,BMW,7 Series,740i,Sedan,automatic,wbagg83441dn81940,or,34,129536,silver,gray,west coast auto enthusiasts llc,2500,3950,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2001,BMW,3 Series,330xi,Sedan,manual,wbaav53461jr79551,ma,24,107778,gray,black,southern remarketing solutions/regions bank,3775,2950,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2001,BMW,3 Series,325i,Sedan,automatic,wbaav33421fu98669,nv,19,201695,gray,black,innovate auto finance,1475,750,Wed Jan 14 2015 16:00:00 GMT-0800 (PST)
2001,BMW,5 Series,525i,Sedan,manual,wbadt33411gf40913,ca,3,222727,blue,tan,charitable auto resource,825,600,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2001,Lexus,LS 430,Base,Sedan,automatic,jthbn30f810012915,pa,35,70429,blue,tan,alans autos,6975,8600,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
2001,Land Rover,Range Rover,4.6 SE,SUV,automatic,salpl16421a448069,fl,42,138324,gray,gray,florida auto and truck exchange inc,2650,2800,Tue Dec 30 2014 12:15:00 GMT-0800 (PST)
2001,Lexus,LS 430,Base,Sedan,automatic,jthbn30f910003771,ga,2,146213,silver,black,persichetti motorsports inc,6075,3500,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2001,Lexus,IS 300,Base,Sedan,automatic,jthbd182x10024430,ga,24,219520,black,black,automobile acceptance corp,2400,2200,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2001,Toyota,Avalon,XLS,Sedan,automatic,4t1bf28b31u191637,oh,1,1,silver,gray,toyota west,3525,325,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2001,Toyota,Celica,GT,Hatchback,automatic,jtddr32t710099501,fl,19,104620,red,black,autonation chevrolet coral gables,3025,1600,Tue Dec 23 2014 12:15:00 GMT-0800 (PST)
2001,Toyota,Highlander,V6,SUV,automatic,jtegf21a810023524,ca,23,179263,black,beige,onemain rem/coast to coast auto group,3925,3600,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2001,Toyota,Tundra,Limited,Access Cab,automatic,5tbbt48121s177631,ma,34,99110,gray,beige,boch toyota/scion south,6775,6500,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2001,Toyota,Tundra,SR5,Access Cab,automatic,5tbbt44151s126565,ma,21,169023,green,tan,boch toyota/scion south,5300,3700,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
2001,Toyota,Highlander,V6,SUV,,jtehf21a710019808,on,19,300631,silver,beige,mercedes-benz,3850,4300,Tue Dec 30 2014 10:00:00 GMT-0800 (PST)
2001,Toyota,Sequoia,SR5,SUV,,5tdzt34a31s034886,fl,19,131799,white,beige,lexus of clearwater,4850,3600,Tue Dec 23 2014 12:15:00 GMT-0800 (PST)
2001,Toyota,Prius,Base,Sedan,automatic,jt2bk12u510038259,fl,2,64554,green,gray,gold financial corporation,2800,2700,Tue Feb 24 2015 01:15:00 GMT-0800 (PST)
